file,rank,index,phi_index,theta_index,phi_deg,theta_deg,predicted_rss,predicted_rss_db,selected_by_omp,omp_order,omp_coeff_real,omp_coeff_imag,omp_coeff_abs
seed1080-epoch36-52.mat,1,1029,51,9,229.5,42.63157894736842,5.1537777517873806e-11,-102.8787347094724,True,1,0.7626558022100335,0.40634833547193394,0.8641544088792472
seed1080-epoch36-52.mat,2,1030,51,10,229.5,47.368421052631575,3.941943646501578e-11,-104.04288486902578,True,10,-0.33082880166794526,0.9575443481854046,1.0130838438919356
seed1080-epoch36-52.mat,3,1049,52,9,234.0,42.63157894736842,3.744279539197315e-11,-104.26630575421717,True,9,-0.13986719418129523,-0.9592913443637774,0.9694342243697669
seed1080-epoch36-52.mat,4,1050,52,10,234.0,47.368421052631575,3.63055072116758e-11,-104.40026295266107,True,2,0.04935508624848523,-0.35167481386286287,0.35512124583594634
seed1080-epoch36-52.mat,5,1009,50,9,225.0,42.63157894736842,1.7981583236292842e-11,-107.4516965709568,True,4,0.05912457432738909,-0.37876332256218526,0.38335019213212995
seed1080-epoch36-52.mat,6,1010,50,10,225.0,47.368421052631575,1.0880906418930802e-11,-109.63330933500528,True,3,0.20424786014514903,-0.4021860895346804,0.451077420172048
seed1080-epoch36-52.mat,7,1051,52,11,234.0,52.10526315789473,9.946671090943493e-12,-110.02317876537415,True,8,0.04020484830622632,-0.07041613406601498,0.08108552129776107
seed1080-epoch36-52.mat,8,1031,51,11,229.5,52.10526315789473,6.44437194580183e-12,-111.90812662549483,True,5,-0.25703021649092267,0.131047275233485,0.28850982745045506
seed1080-epoch36-52.mat,9,1069,53,9,238.5,42.63157894736842,6.396202144320906e-12,-111.94071029523671,True,6,-0.21437640031468483,0.3600667673536358,0.41905288206189356
seed1080-epoch36-52.mat,10,1070,53,10,238.5,47.368421052631575,5.998380611660359e-12,-112.21958740538817,True,7,-0.18051916921177147,-0.026915701791809125,0.18251472668213317
seed1080-epoch38-1.mat,1,1353,67,13,301.5,61.57894736842105,5.332238123267885e-11,-102.73089649944808,True,1,0.33661741624269237,1.040843104504086,1.093922142161685
seed1080-epoch38-1.mat,2,1333,66,13,297.0,61.57894736842105,3.8982518602015404e-11,-104.09128991123777,True,2,0.04328435967666774,0.3500295082535433,0.35269560876318895
seed1080-epoch38-1.mat,3,1352,67,12,301.5,56.84210526315789,3.8830501314368604e-11,-104.10825884100099,True,7,0.35514525729753577,-0.02659824392540881,0.3561398887527883
